epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.344,0.44445,1.02275,1.15235,0.76671,0.85441,0.89205,0.86605,0.24183,0.62993,0.30383,0.000333087,0.000333087,0.0670244
2,469.147,0.18006,0.66544,0.94284,0.88652,0.83103,0.88061,0.85397,0.26297,0.48605,0.32988,0.000659823,0.000659823,0.0340178
3,688.565,0.14233,0.60491,0.92079,0.87948,0.83496,0.90812,0.86117,0.21163,0.45437,0.25174,0.000979959,0.000979959,0.00100456
4,899.587,0.12197,0.56624,0.91009,0.92164,0.86095,0.92435,0.88889,0.1851,0.36606,0.22431,0.0009703,0.0009703,0.0009703
5,1117.85,0.11144,0.54637,0.90598,0.93362,0.86407,0.9276,0.88939,0.24236,0.39364,0.28017,0.0009604,0.0009604,0.0009604
6,1334.47,0.10282,0.53422,0.9032,0.94978,0.83634,0.93436,0.89702,0.17967,0.34606,0.21613,0.0009505,0.0009505,0.0009505
7,1548.29,0.09389,0.52232,0.90032,0.91912,0.88957,0.94133,0.90387,0.18952,0.40933,0.22116,0.0009406,0.0009406,0.0009406
8,1762.25,0.09074,0.5131,0.89924,0.91322,0.89503,0.94254,0.90511,0.18213,0.33491,0.21851,0.0009307,0.0009307,0.0009307
9,1975.39,0.08922,0.50906,0.89928,0.95658,0.85369,0.93011,0.89688,0.20425,0.49231,0.20713,0.0009208,0.0009208,0.0009208
10,2191.56,0.08463,0.49709,0.89842,0.91094,0.9089,0.94167,0.9026,0.20067,0.3782,0.23373,0.0009109,0.0009109,0.0009109
11,2406.93,0.08459,0.49334,0.89839,0.91662,0.89836,0.94167,0.90173,0.18323,0.34567,0.21502,0.000901,0.000901,0.000901
12,2621.83,0.0794,0.48596,0.89512,0.92425,0.90873,0.94696,0.90827,0.16559,0.35947,0.18017,0.0008911,0.0008911,0.0008911
13,2834.22,0.07954,0.482,0.8962,0.91111,0.90211,0.94566,0.9074,0.196,0.38326,0.23035,0.0008812,0.0008812,0.0008812
14,3047.86,0.07882,0.48016,0.89567,0.91957,0.8951,0.94663,0.90592,0.22162,0.35428,0.26798,0.0008713,0.0008713,0.0008713
15,3260.82,0.07279,0.47485,0.89436,0.91608,0.90364,0.94933,0.90808,0.21267,0.3929,0.24485,0.0008614,0.0008614,0.0008614
16,3473.6,0.07738,0.47357,0.89489,0.92439,0.90868,0.94868,0.9099,0.21683,0.32847,0.2567,0.0008515,0.0008515,0.0008515
17,3692.73,0.0725,0.46954,0.89397,0.92093,0.91313,0.95031,0.91073,0.19254,0.33467,0.22588,0.0008416,0.0008416,0.0008416
18,3908.24,0.07163,0.46476,0.8927,0.91696,0.89862,0.9448,0.90469,0.20948,0.3952,0.24755,0.0008317,0.0008317,0.0008317
19,4125.78,0.07182,0.46957,0.89326,0.93627,0.91159,0.9532,0.91394,0.20935,0.31323,0.24147,0.0008218,0.0008218,0.0008218
20,4339.02,0.06547,0.461,0.89269,0.92958,0.91642,0.95035,0.91143,0.15115,0.31281,0.16911,0.0008119,0.0008119,0.0008119
21,4552.58,0.07088,0.46419,0.89251,0.92796,0.92251,0.95255,0.91465,0.13701,0.33462,0.15665,0.000802,0.000802,0.000802
22,4766.28,inf,0.45621,0.89223,0.92442,0.92379,0.95245,0.91398,0.1405,0.28914,0.1557,0.0007921,0.0007921,0.0007921
23,4979.63,0.06337,0.45731,0.89122,0.92403,0.92059,0.95266,0.91542,0.17501,0.34133,0.21119,0.0007822,0.0007822,0.0007822
24,5195.81,0.06379,0.45363,0.89202,0.92888,0.9213,0.95579,0.91638,0.13164,0.26877,0.14666,0.0007723,0.0007723,0.0007723
25,5407.84,0.06311,0.45351,0.89281,0.92186,0.92996,0.95467,0.91597,0.18143,0.33434,0.21471,0.0007624,0.0007624,0.0007624
26,5621.82,0.06242,0.44966,0.89149,0.92888,0.92225,0.95542,0.91662,0.20289,0.33414,0.23945,0.0007525,0.0007525,0.0007525
27,5834.09,0.0606,0.44737,0.89052,0.92812,0.9252,0.95615,0.9171,0.1219,0.32924,0.13603,0.0007426,0.0007426,0.0007426
28,6048.42,0.06344,0.45033,0.89154,0.9267,0.92755,0.95559,0.91709,0.12096,0.3302,0.1337,0.0007327,0.0007327,0.0007327
29,6261.93,0.06055,0.44721,0.89105,0.92705,0.9294,0.95626,0.91759,0.15446,0.43352,0.17512,0.0007228,0.0007228,0.0007228
30,6475.17,inf,0.44813,0.8912,0.9294,0.92964,0.95573,0.91739,0.17418,0.48412,0.20083,0.0007129,0.0007129,0.0007129
31,6691.32,0.0579,0.44393,0.89078,0.92594,0.93143,0.95691,0.91845,0.19021,0.33143,0.22634,0.000703,0.000703,0.000703
32,6905.49,0.05648,0.44361,0.88939,0.93107,0.92843,0.95701,0.91866,0.17326,0.35872,0.20592,0.0006931,0.0006931,0.0006931
33,7118.69,0.0573,0.43922,0.89013,0.92498,0.93513,0.95716,0.91902,0.1699,0.35156,0.21103,0.0006832,0.0006832,0.0006832
34,7336.71,0.0557,0.43782,0.88907,0.92732,0.93553,0.95699,0.91934,0.15532,0.36875,0.19005,0.0006733,0.0006733,0.0006733
35,7552.26,0.05645,0.43752,0.89163,0.92995,0.93244,0.95665,0.91932,0.16078,0.4495,0.19064,0.0006634,0.0006634,0.0006634
36,7764.81,inf,0.43981,0.8905,0.93222,0.93059,0.95774,0.91967,0.16876,0.41206,0.19872,0.0006535,0.0006535,0.0006535
37,7976.98,inf,0.43382,0.89058,0.93461,0.9309,0.95792,0.91965,0.18544,0.33691,0.21671,0.0006436,0.0006436,0.0006436
38,8188.57,inf,0.43236,0.8894,0.93481,0.93238,0.95799,0.91984,0.18383,0.32482,0.21744,0.0006337,0.0006337,0.0006337
39,8402.1,inf,0.43282,0.88938,0.9349,0.93186,0.95805,0.92037,0.17886,0.32795,0.2073,0.0006238,0.0006238,0.0006238
40,8614.11,0.05184,0.43299,0.88989,0.9346,0.9333,0.95812,0.92082,0.18599,0.39445,0.2176,0.0006139,0.0006139,0.0006139
41,8825.7,0.05179,0.42464,0.88872,0.93387,0.93404,0.95776,0.92069,0.18975,0.41134,0.22614,0.000604,0.000604,0.000604
42,9037.4,inf,0.42822,0.88978,0.93286,0.93424,0.95839,0.92078,0.19604,0.41262,0.23388,0.0005941,0.0005941,0.0005941
43,9250.25,0.05217,0.42722,0.88799,0.93332,0.93317,0.95819,0.92074,0.19742,0.40176,0.23708,0.0005842,0.0005842,0.0005842
44,9462.04,0.05305,0.43329,0.88909,0.93156,0.93581,0.95866,0.92099,0.19357,0.38045,0.23335,0.0005743,0.0005743,0.0005743
45,9674.9,inf,0.42568,0.88904,0.92975,0.93713,0.95856,0.92126,0.18684,0.36254,0.22591,0.0005644,0.0005644,0.0005644
46,9886.64,0.05032,0.42743,0.88868,0.93006,0.93688,0.95867,0.92102,0.18835,0.35814,0.22826,0.0005545,0.0005545,0.0005545
47,10098.7,0.05,0.42293,0.8879,0.92898,0.93686,0.95863,0.92123,0.18811,0.35119,0.22843,0.0005446,0.0005446,0.0005446
48,10311.3,inf,0.42293,0.88948,0.93171,0.93524,0.9586,0.92128,0.18433,0.34353,0.22339,0.0005347,0.0005347,0.0005347
49,10523.5,0.04734,0.41736,0.88743,0.93059,0.93606,0.95861,0.92125,0.18065,0.33944,0.21843,0.0005248,0.0005248,0.0005248
50,10735,0.04867,0.41815,0.88814,0.93188,0.93644,0.95872,0.92133,0.17655,0.33304,0.21264,0.0005149,0.0005149,0.0005149
51,10947.5,0.04951,0.42103,0.88821,0.9314,0.93632,0.95894,0.92138,0.17171,0.32753,0.2058,0.000505,0.000505,0.000505
52,11163.1,0.0482,0.41979,0.89019,0.93163,0.93757,0.95905,0.9214,0.16636,0.32075,0.19817,0.0004951,0.0004951,0.0004951
53,11380.8,0.04813,0.41959,0.88795,0.93198,0.93791,0.95924,0.9217,0.15684,0.30661,0.18497,0.0004852,0.0004852,0.0004852
54,11595.1,inf,0.4152,0.88855,0.93185,0.93661,0.95875,0.92122,0.14974,0.29672,0.17517,0.0004753,0.0004753,0.0004753
55,11810.6,inf,0.41656,0.88665,0.93256,0.93707,0.95897,0.92113,0.1474,0.29497,0.1721,0.0004654,0.0004654,0.0004654
56,12024.2,inf,0.41744,0.88873,0.93312,0.93741,0.95819,0.92063,0.14602,0.29762,0.1702,0.0004555,0.0004555,0.0004555
57,12236.6,0.04522,0.41524,0.88711,0.93426,0.9377,0.9581,0.9202,0.14615,0.30825,0.17024,0.0004456,0.0004456,0.0004456
58,12450.1,inf,0.41271,0.88751,0.93362,0.938,0.95748,0.92022,0.1475,0.32215,0.17192,0.0004357,0.0004357,0.0004357
59,12662.4,0.04585,0.41049,0.88698,0.93345,0.93848,0.95688,0.92002,0.14797,0.32653,0.17257,0.0004258,0.0004258,0.0004258
60,12876.3,0.04579,0.41167,0.88842,0.93397,0.93755,0.95688,0.91967,0.14988,0.33771,0.17521,0.0004159,0.0004159,0.0004159
61,13090.4,inf,0.41054,0.88811,0.93641,0.93636,0.95709,0.91938,0.15259,0.35333,0.17868,0.000406,0.000406,0.000406
62,13303.8,0.04651,0.41218,0.88655,0.93564,0.93528,0.95677,0.91926,0.15509,0.36267,0.18176,0.0003961,0.0003961,0.0003961
63,13516,0.04461,0.40887,0.88879,0.93523,0.93658,0.95689,0.91989,0.15841,0.36266,0.18593,0.0003862,0.0003862,0.0003862
64,13728.1,inf,0.40634,0.88804,0.93322,0.93785,0.95843,0.92089,0.16246,0.34472,0.19118,0.0003763,0.0003763,0.0003763
65,13939,0.04457,0.41561,0.88855,0.93092,0.93688,0.95891,0.92238,0.16706,0.32954,0.19672,0.0003664,0.0003664,0.0003664
66,14150,0.04664,0.42014,0.88953,0.92142,0.92587,0.95767,0.92205,0.1773,0.34373,0.20988,0.0003565,0.0003565,0.0003565
67,14362.2,inf,0.42854,0.889,0.95556,0.87061,0.94353,0.9147,0.18524,0.36586,0.22083,0.0003466,0.0003466,0.0003466
68,14574,inf,0.43982,0.89219,0.95541,0.86974,0.92572,0.90466,0.18692,0.38232,0.22551,0.0003367,0.0003367,0.0003367
69,14785.3,inf,0.46688,0.89499,0.95923,0.86327,0.90627,0.89505,0.18795,0.39408,0.23257,0.0003268,0.0003268,0.0003268
70,14997.4,0.08624,0.49306,0.9006,0.95397,0.85187,0.89214,0.8868,0.19827,0.42451,0.25689,0.0003169,0.0003169,0.0003169
71,15207.6,0.09165,0.49895,0.90399,0.90268,0.82184,0.88029,0.87678,0.24281,0.5616,0.31517,0.000307,0.000307,0.000307
72,15417.2,0.09552,0.51291,0.90692,0.73893,0.8617,0.87386,0.81653,0.37191,0.85947,0.43855,0.0002971,0.0002971,0.0002971
73,15628.4,0.09551,0.51221,0.90605,0.74093,0.82853,0.80767,0.60824,0.96801,1.2383,0.83478,0.0002872,0.0002872,0.0002872
74,15838.4,0.10224,0.53187,0.90811,0.65017,0.85746,0.60464,0.09163,3.11977,3.2689,2.75902,0.0002773,0.0002773,0.0002773
75,16040.2,0.10096,0.52979,0.90694,0,0,0,0,4.383,5.93988,4.63727,0.0002674,0.0002674,0.0002674
76,16249.6,0.09465,0.52193,0.90411,0,0,0,0,4.84001,7.92911,5.6814,0.0002575,0.0002575,0.0002575
77,16452.4,0.0928,0.51647,0.90139,0,0,0,0,6.25989,8.13957,7.29485,0.0002476,0.0002476,0.0002476
78,16654.6,0.09296,0.50996,0.90355,0,0,0,0,2e-05,0,3e-05,0.0002377,0.0002377,0.0002377
79,16854.6,0.09415,0.51508,0.90248,0,0,0,0,0,0,0,0.0002278,0.0002278,0.0002278
80,17053.3,0.09453,0.51598,0.9029,0,0,0,0,0,0,0,0.0002179,0.0002179,0.0002179
81,17252.4,0.09334,0.51794,0.90159,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
82,17460,0.08918,0.50847,0.90056,0,0,0,0,0,0.00436,0,0.0001981,0.0001981,0.0001981
83,17666.8,0.09052,0.5172,0.90241,0,0,0,0,0,0.12442,0,0.0001882,0.0001882,0.0001882
84,17873.4,0.0885,0.53465,0.90145,0,0,0,0,0,0.12442,0,0.0001783,0.0001783,0.0001783
85,18081,0.08902,0.53993,0.90083,0,0,0,0,0,0.06221,0,0.0001684,0.0001684,0.0001684
