epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.962,0.25589,0.80042,1.00754,0.80087,0.86567,0.91149,0.8726,0.23303,0.57385,0.31756,0.000333087,0.000333087,0.0670244
2,512.691,0.16336,0.60201,0.9354,0.89974,0.85333,0.92355,0.89173,0.28184,0.5231,0.35748,0.000659823,0.000659823,0.0340178
3,754.571,0.1374,0.56552,0.92049,0.91213,0.88452,0.93557,0.88671,0.23592,0.45389,0.32364,0.000979959,0.000979959,0.00100456
4,992.339,0.11915,0.53718,0.9108,0.91365,0.88672,0.93874,0.90202,0.18666,0.36821,0.21886,0.0009703,0.0009703,0.0009703
5,1229.6,0.10641,0.51834,0.90509,0.91883,0.89805,0.94086,0.90312,0.24427,0.43616,0.31009,0.0009604,0.0009604,0.0009604
6,1466.47,0.09833,0.50879,0.90268,0.91936,0.90641,0.94373,0.90382,0.23404,0.36606,0.30637,0.0009505,0.0009505,0.0009505
7,1708.04,0.09135,0.50082,0.90001,0.91304,0.9003,0.94512,0.90636,0.23667,0.38849,0.30223,0.0009406,0.0009406,0.0009406
8,1946.33,0.08777,0.49447,0.89868,0.91954,0.90662,0.94371,0.90724,0.13457,0.30526,0.15954,0.0009307,0.0009307,0.0009307
9,2185.56,0.08684,0.48944,0.89917,0.92752,0.89945,0.9474,0.91076,0.18324,0.34064,0.22973,0.0009208,0.0009208,0.0009208
10,2424.98,0.08117,0.47942,0.89804,0.91706,0.91263,0.94362,0.9086,0.21409,0.38667,0.25859,0.0009109,0.0009109,0.0009109
11,2663.58,inf,0.47808,0.89787,0.92318,0.91453,0.94947,0.9097,0.20927,0.32133,0.24874,0.000901,0.000901,0.000901
12,2900.93,0.07747,0.46952,0.89506,0.93167,0.91794,0.95087,0.91387,0.12543,0.24092,0.14234,0.0008911,0.0008911,0.0008911
13,3140.89,0.07778,0.46509,0.89579,0.9242,0.92373,0.95399,0.91513,0.19469,0.33424,0.23042,0.0008812,0.0008812,0.0008812
14,3380.48,0.0747,0.46439,0.89382,0.92814,0.91922,0.9543,0.91512,0.13085,0.23928,0.14984,0.0008713,0.0008713,0.0008713
15,3619.08,0.06986,0.4591,0.89343,0.92109,0.92204,0.95593,0.91476,0.12987,0.30291,0.14252,0.0008614,0.0008614,0.0008614
16,3860.65,0.07305,0.45781,0.89339,0.93538,0.91802,0.9558,0.91775,0.14599,0.32376,0.16591,0.0008515,0.0008515,0.0008515
17,4179.39,0.07094,0.45335,0.89295,0.93156,0.92353,0.95609,0.91949,0.19148,0.36617,0.23598,0.0008416,0.0008416,0.0008416
18,4538.92,0.06997,0.45086,0.89232,0.92815,0.92477,0.95492,0.91563,0.20255,0.33786,0.23737,0.0008317,0.0008317,0.0008317
19,4797.16,0.06902,0.45277,0.89247,0.93446,0.929,0.95734,0.9189,0.12652,0.22428,0.13761,0.0008218,0.0008218,0.0008218
