epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,576.795,0.19547,0.68074,0.95971,0.83756,0.8608,0.89754,0.79338,0.37019,0.58579,0.31285,0.000333087,0.000333087,0.0670244
2,1097.91,0.15091,0.57452,0.92503,0.88178,0.85384,0.92225,0.89097,0.14337,0.34938,0.18463,0.000659823,0.000659823,0.0340178
3,1605.14,0.12649,0.54357,0.91349,0.9414,0.84517,0.9242,0.88768,0.25556,0.27111,0.29806,0.000979959,0.000979959,0.00100456
4,2108.73,0.11011,0.51801,0.90513,0.9535,0.84901,0.93671,0.89949,0.12173,0.22771,0.14978,0.0009703,0.0009703,0.0009703
5,2613.14,0.09732,0.50461,0.90076,0.90528,0.89268,0.94531,0.90345,0.13736,0.28878,0.1573,0.0009604,0.0009604,0.0009604
6,3114.87,0.09399,0.50423,0.90016,0.92133,0.89221,0.94145,0.90325,0.20745,0.38658,0.2336,0.0009505,0.0009505,0.0009505
7,3610.42,0.08572,0.48842,0.89768,0.92046,0.91701,0.95045,0.90961,0.11196,0.21357,0.14275,0.0009406,0.0009406,0.0009406
8,4106.52,0.08201,0.48313,0.89584,0.92821,0.89982,0.94675,0.90795,0.13921,0.27636,0.15203,0.0009307,0.0009307,0.0009307
9,4602.76,0.08209,0.48186,0.89655,0.92976,0.90467,0.94819,0.91283,0.14061,0.23915,0.1581,0.0009208,0.0009208,0.0009208
10,5098.61,0.07575,0.47274,0.89607,0.92116,0.9175,0.94919,0.91044,0.0717,0.18426,0.09776,0.0009109,0.0009109,0.0009109
11,5594.52,0.07722,0.46835,0.89597,0.93004,0.91756,0.95277,0.91363,0.05866,0.23187,0.08041,0.000901,0.000901,0.000901
12,6089.76,0.0743,0.46407,0.89332,0.92513,0.91963,0.95505,0.91524,0.09262,0.2086,0.12442,0.0008911,0.0008911,0.0008911
13,6584.9,0.07607,0.45962,0.89487,0.92404,0.92572,0.95308,0.91363,0.11109,0.19824,0.13572,0.0008812,0.0008812,0.0008812
14,7080.36,0.07506,0.45713,0.89376,0.92803,0.92654,0.95739,0.91837,0.08799,0.18705,0.09198,0.0008713,0.0008713,0.0008713
